transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43757.523247	0.05	B3Sigma-	4	0	F2	e	X3Sigma-	0	1	F2	e	22HeStLy.1
43756.119605	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F2	e	22HeStLy.2
43754.251620	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F2	e	22HeStLy.3
43751.914982	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F2	e	22HeStLy.4
43749.114582	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F2	e	22HeStLy.5
43745.854325	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F2	e	22HeStLy.6
43742.136185	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F2	e	22HeStLy.7
43737.960979	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F2	e	22HeStLy.8
43733.328972	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F2	e	22HeStLy.9
43728.240209	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F2	e	22HeStLy.10
43722.694662	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F2	e	22HeStLy.11
43716.692303	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F2	e	22HeStLy.12
43710.233128	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F2	e	22HeStLy.13
43703.317172	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F2	e	22HeStLy.14
43695.944507	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F2	e	22HeStLy.15
43688.115241	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F2	e	22HeStLy.16
43679.829518	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F2	e	22HeStLy.17
43671.087513	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F2	e	22HeStLy.18
43661.889430	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F2	e	22HeStLy.19
43652.235501	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F2	e	22HeStLy.20
43642.125984	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F2	e	22HeStLy.21
43631.561157	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F2	e	22HeStLy.22
43620.541326	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F2	e	22HeStLy.23
43609.066814	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F2	e	22HeStLy.24
43597.137966	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F2	e	22HeStLy.25
43584.755147	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F2	e	22HeStLy.26
43571.918742	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F2	e	22HeStLy.27
43558.629153	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F2	e	22HeStLy.28
43544.886802	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F2	e	22HeStLy.29
43530.692129	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F2	e	22HeStLy.30
43516.045589	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F2	e	22HeStLy.31
43500.947658	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F2	e	22HeStLy.32
43485.398828	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F2	e	22HeStLy.33
43469.399607	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F2	e	22HeStLy.34
43452.950521	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F2	e	22HeStLy.35
43436.052114	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F2	e	22HeStLy.36
43418.704945	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F2	e	22HeStLy.37
43400.909590	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F2	e	22HeStLy.38
43382.666642	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F2	e	22HeStLy.39
43363.976710	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F2	e	22HeStLy.40
43344.840421	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F2	e	22HeStLy.41
43325.258416	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F2	e	22HeStLy.42
43305.231355	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F2	e	22HeStLy.43
43284.759912	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F2	e	22HeStLy.44
43263.844778	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F2	e	22HeStLy.45
43242.486662	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F2	e	22HeStLy.46
43220.686288	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F2	e	22HeStLy.47
43198.444395	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F2	e	22HeStLy.48
43175.761740	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F2	e	22HeStLy.49
43152.639096	0.05	B3Sigma-	4	49	F2	e	X3Sigma-	0	50	F2	e	22HeStLy.50
43747.549661	0.05	B3Sigma-	4	0	F2	e	X3Sigma-	0	1	F1	e	22HeStLy.51
43744.704402	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F1	e	22HeStLy.52
43740.964192	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F1	e	22HeStLy.53
43736.480743	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F1	e	22HeStLy.54
43731.358391	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F1	e	22HeStLy.55
43725.661504	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F1	e	22HeStLy.56
43719.429092	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F1	e	22HeStLy.57
43712.685284	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F1	e	22HeStLy.58
43705.445517	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F1	e	22HeStLy.59
43697.720034	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F1	e	22HeStLy.60
43689.515879	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F1	e	22HeStLy.61
43680.838064	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F1	e	22HeStLy.62
43671.690266	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F1	e	22HeStLy.63
43662.075271	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F1	e	22HeStLy.64
43651.995247	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F1	e	22HeStLy.65
43641.451929	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F1	e	22HeStLy.66
43630.446744	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F1	e	22HeStLy.67
43618.980897	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F1	e	22HeStLy.68
43607.055425	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F1	e	22HeStLy.69
43594.671250	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F1	e	22HeStLy.70
43581.829200	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F1	e	22HeStLy.71
43568.530038	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F1	e	22HeStLy.72
43554.774478	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F1	e	22HeStLy.73
43540.563199	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F1	e	22HeStLy.74
43525.896850	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F1	e	22HeStLy.75
43510.776068	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F1	e	22HeStLy.76
43495.201473	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F1	e	22HeStLy.77
43479.173680	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F1	e	22HeStLy.78
43462.693301	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F1	e	22HeStLy.79
43445.760947	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F1	e	22HeStLy.80
43428.377232	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F1	e	22HeStLy.81
43410.542775	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F1	e	22HeStLy.82
43392.258201	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F1	e	22HeStLy.83
43373.524142	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F1	e	22HeStLy.84
43354.341239	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F1	e	22HeStLy.85
43334.710144	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F1	e	22HeStLy.86
43314.631519	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F1	e	22HeStLy.87
43294.106035	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F1	e	22HeStLy.88
43273.134379	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F1	e	22HeStLy.89
43251.717249	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F1	e	22HeStLy.90
43229.855353	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F1	e	22HeStLy.91
43207.549417	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F1	e	22HeStLy.92
43184.800177	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F1	e	22HeStLy.93
43161.608385	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F1	e	22HeStLy.94
43137.974805	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F1	e	22HeStLy.95
43113.900217	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F1	e	22HeStLy.96
43089.385415	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F1	e	22HeStLy.97
43064.431208	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F1	e	22HeStLy.98
43039.038420	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F1	e	22HeStLy.99
43013.207888	0.05	B3Sigma-	4	49	F2	e	X3Sigma-	0	50	F1	e	22HeStLy.100
43752.204856	0.05	B3Sigma-	4	1	F1	f	X3Sigma-	0	2	F1	f	22HeStLy.101
43749.903671	0.05	B3Sigma-	4	2	F1	f	X3Sigma-	0	3	F1	f	22HeStLy.102
43747.143385	0.05	B3Sigma-	4	3	F1	f	X3Sigma-	0	4	F1	f	22HeStLy.103
43743.924071	0.05	B3Sigma-	4	4	F1	f	X3Sigma-	0	5	F1	f	22HeStLy.104
43740.245818	0.05	B3Sigma-	4	5	F1	f	X3Sigma-	0	6	F1	f	22HeStLy.105
43736.108729	0.05	B3Sigma-	4	6	F1	f	X3Sigma-	0	7	F1	f	22HeStLy.106
43731.512927	0.05	B3Sigma-	4	7	F1	f	X3Sigma-	0	8	F1	f	22HeStLy.107
43726.458546	0.05	B3Sigma-	4	8	F1	f	X3Sigma-	0	9	F1	f	22HeStLy.108
43720.945740	0.05	B3Sigma-	4	9	F1	f	X3Sigma-	0	10	F1	f	22HeStLy.109
43714.974677	0.05	B3Sigma-	4	10	F1	f	X3Sigma-	0	11	F1	f	22HeStLy.110
43708.545541	0.05	B3Sigma-	4	11	F1	f	X3Sigma-	0	12	F1	f	22HeStLy.111
43701.658533	0.05	B3Sigma-	4	12	F1	f	X3Sigma-	0	13	F1	f	22HeStLy.112
43694.313867	0.05	B3Sigma-	4	13	F1	f	X3Sigma-	0	14	F1	f	22HeStLy.113
43686.511776	0.05	B3Sigma-	4	14	F1	f	X3Sigma-	0	15	F1	f	22HeStLy.114
43678.252508	0.05	B3Sigma-	4	15	F1	f	X3Sigma-	0	16	F1	f	22HeStLy.115
43669.536327	0.05	B3Sigma-	4	16	F1	f	X3Sigma-	0	17	F1	f	22HeStLy.116
43660.363512	0.05	B3Sigma-	4	17	F1	f	X3Sigma-	0	18	F1	f	22HeStLy.117
43650.734359	0.05	B3Sigma-	4	18	F1	f	X3Sigma-	0	19	F1	f	22HeStLy.118
43640.649179	0.05	B3Sigma-	4	19	F1	f	X3Sigma-	0	20	F1	f	22HeStLy.119
43630.108299	0.05	B3Sigma-	4	20	F1	f	X3Sigma-	0	21	F1	f	22HeStLy.120
43619.112063	0.05	B3Sigma-	4	21	F1	f	X3Sigma-	0	22	F1	f	22HeStLy.121
43607.660831	0.05	B3Sigma-	4	22	F1	f	X3Sigma-	0	23	F1	f	22HeStLy.122
43595.754977	0.05	B3Sigma-	4	23	F1	f	X3Sigma-	0	24	F1	f	22HeStLy.123
43583.394893	0.05	B3Sigma-	4	24	F1	f	X3Sigma-	0	25	F1	f	22HeStLy.124
43570.580985	0.05	B3Sigma-	4	25	F1	f	X3Sigma-	0	26	F1	f	22HeStLy.125
43557.313677	0.05	B3Sigma-	4	26	F1	f	X3Sigma-	0	27	F1	f	22HeStLy.126
43543.593407	0.05	B3Sigma-	4	27	F1	f	X3Sigma-	0	28	F1	f	22HeStLy.127
43529.420631	0.05	B3Sigma-	4	28	F1	f	X3Sigma-	0	29	F1	f	22HeStLy.128
43514.795819	0.05	B3Sigma-	4	29	F1	f	X3Sigma-	0	30	F1	f	22HeStLy.129
43499.719459	0.05	B3Sigma-	4	30	F1	f	X3Sigma-	0	31	F1	f	22HeStLy.130
43484.192052	0.05	B3Sigma-	4	31	F1	f	X3Sigma-	0	32	F1	f	22HeStLy.131
43468.214118	0.05	B3Sigma-	4	32	F1	f	X3Sigma-	0	33	F1	f	22HeStLy.132
43451.786191	0.05	B3Sigma-	4	33	F1	f	X3Sigma-	0	34	F1	f	22HeStLy.133
43434.908822	0.05	B3Sigma-	4	34	F1	f	X3Sigma-	0	35	F1	f	22HeStLy.134
43417.582578	0.05	B3Sigma-	4	35	F1	f	X3Sigma-	0	36	F1	f	22HeStLy.135
43399.808042	0.05	B3Sigma-	4	36	F1	f	X3Sigma-	0	37	F1	f	22HeStLy.136
43381.585811	0.05	B3Sigma-	4	37	F1	f	X3Sigma-	0	38	F1	f	22HeStLy.137
43362.916501	0.05	B3Sigma-	4	38	F1	f	X3Sigma-	0	39	F1	f	22HeStLy.138
43343.800743	0.05	B3Sigma-	4	39	F1	f	X3Sigma-	0	40	F1	f	22HeStLy.139
43324.239182	0.05	B3Sigma-	4	40	F1	f	X3Sigma-	0	41	F1	f	22HeStLy.140
43304.232481	0.05	B3Sigma-	4	41	F1	f	X3Sigma-	0	42	F1	f	22HeStLy.141
43283.781320	0.05	B3Sigma-	4	42	F1	f	X3Sigma-	0	43	F1	f	22HeStLy.142
43262.886393	0.05	B3Sigma-	4	43	F1	f	X3Sigma-	0	44	F1	f	22HeStLy.143
43241.548411	0.05	B3Sigma-	4	44	F1	f	X3Sigma-	0	45	F1	f	22HeStLy.144
43219.768100	0.05	B3Sigma-	4	45	F1	f	X3Sigma-	0	46	F1	f	22HeStLy.145
43197.546203	0.05	B3Sigma-	4	46	F1	f	X3Sigma-	0	47	F1	f	22HeStLy.146
43174.883479	0.05	B3Sigma-	4	47	F1	f	X3Sigma-	0	48	F1	f	22HeStLy.147
43151.780703	0.05	B3Sigma-	4	48	F1	f	X3Sigma-	0	49	F1	f	22HeStLy.148
43128.238666	0.05	B3Sigma-	4	49	F1	f	X3Sigma-	0	50	F1	f	22HeStLy.149
43762.779099	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F2	e	22HeStLy.150
43761.917114	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F2	e	22HeStLy.151
43760.880221	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F2	e	22HeStLy.152
43759.564230	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F2	e	22HeStLy.153
43757.904949	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F2	e	22HeStLy.154
43755.863580	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F2	e	22HeStLy.155
43753.416232	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F2	e	22HeStLy.156
43750.547744	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F2	e	22HeStLy.157
43747.248175	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F2	e	22HeStLy.158
43743.510819	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F2	e	22HeStLy.159
43739.331033	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F2	e	22HeStLy.160
43734.705538	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F2	e	22HeStLy.161
43729.631982	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F2	e	22HeStLy.162
43724.108661	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F2	e	22HeStLy.163
43718.134335	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F2	e	22HeStLy.164
43711.708103	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F2	e	22HeStLy.165
43704.829322	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F2	e	22HeStLy.166
43697.497543	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F2	e	22HeStLy.167
43689.712470	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F2	e	22HeStLy.168
43681.473928	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F2	e	22HeStLy.169
43672.781841	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F2	e	22HeStLy.170
43663.636214	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F2	e	22HeStLy.171
43654.037119	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F2	e	22HeStLy.172
43643.984687	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F2	e	22HeStLy.173
43633.479097	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F2	e	22HeStLy.174
43622.520575	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F2	e	22HeStLy.175
43611.109383	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F2	e	22HeStLy.176
43599.245820	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F2	e	22HeStLy.177
43586.930216	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F2	e	22HeStLy.178
43574.162930	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F2	e	22HeStLy.179
43560.944350	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F2	e	22HeStLy.180
43547.274887	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F2	e	22HeStLy.181
43533.154980	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F2	e	22HeStLy.182
43518.585089	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F2	e	22HeStLy.183
43503.565695	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F2	e	22HeStLy.184
43488.097301	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F2	e	22HeStLy.185
43472.180433	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F2	e	22HeStLy.186
43455.815635	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F2	e	22HeStLy.187
43439.003470	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F2	e	22HeStLy.188
43421.744521	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F2	e	22HeStLy.189
43404.039389	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F2	e	22HeStLy.190
43385.888696	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F2	e	22HeStLy.191
43367.293079	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F2	e	22HeStLy.192
43348.253195	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F2	e	22HeStLy.193
43328.769717	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F2	e	22HeStLy.194
43308.843338	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F2	e	22HeStLy.195
43288.474766	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F2	e	22HeStLy.196
43267.664727	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F2	e	22HeStLy.197
43246.413966	0.05	B3Sigma-	4	49	F1	e	X3Sigma-	0	50	F2	e	22HeStLy.198
43751.363896	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F1	e	22HeStLy.199
43748.629686	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F1	e	22HeStLy.200
43745.445982	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F1	e	22HeStLy.201
43741.808038	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F1	e	22HeStLy.202
43737.712128	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F1	e	22HeStLy.203
43733.156486	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F1	e	22HeStLy.204
43728.140537	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F1	e	22HeStLy.205
43722.664288	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F1	e	22HeStLy.206
43716.728000	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F1	e	22HeStLy.207
43710.332036	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F1	e	22HeStLy.208
43703.476794	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F1	e	22HeStLy.209
43696.162677	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F1	e	22HeStLy.210
43688.390082	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F1	e	22HeStLy.211
43680.159402	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F1	e	22HeStLy.212
43671.471023	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F1	e	22HeStLy.213
43662.325329	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F1	e	22HeStLy.214
43652.722706	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F1	e	22HeStLy.215
43642.663538	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F1	e	22HeStLy.216
43632.148218	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F1	e	22HeStLy.217
43621.177144	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F1	e	22HeStLy.218
43609.750722	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F1	e	22HeStLy.219
43597.869366	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F1	e	22HeStLy.220
43585.533504	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F1	e	22HeStLy.221
43572.743571	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F1	e	22HeStLy.222
43559.500018	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F1	e	22HeStLy.223
43545.803306	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F1	e	22HeStLy.224
43531.653910	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F1	e	22HeStLy.225
43517.052319	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F1	e	22HeStLy.226
43501.999034	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F1	e	22HeStLy.227
43486.494573	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F1	e	22HeStLy.228
43470.539467	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F1	e	22HeStLy.229
43454.134261	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F1	e	22HeStLy.230
43437.279516	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F1	e	22HeStLy.231
43419.975807	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F1	e	22HeStLy.232
43402.223725	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F1	e	22HeStLy.233
43384.023875	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F1	e	22HeStLy.234
43365.376879	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F1	e	22HeStLy.235
43346.283372	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F1	e	22HeStLy.236
43326.744008	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F1	e	22HeStLy.237
43306.759453	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F1	e	22HeStLy.238
43286.330390	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F1	e	22HeStLy.239
43265.457518	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F1	e	22HeStLy.240
43244.141552	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F1	e	22HeStLy.241
43222.383221	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F1	e	22HeStLy.242
43200.183272	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F1	e	22HeStLy.243
43177.542465	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F1	e	22HeStLy.244
43154.461579	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F1	e	22HeStLy.245
43130.941407	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F1	e	22HeStLy.246
