transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43768.932156	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F1	e	22HeStLy.52
43764.289451	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F1	e	22HeStLy.53
43758.995455	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F1	e	22HeStLy.54
43753.115813	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F1	e	22HeStLy.55
43746.689489	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F1	e	22HeStLy.56
43739.740221	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F1	e	22HeStLy.57
43732.283021	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F1	e	22HeStLy.58
43724.327748	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F1	e	22HeStLy.59
43715.881110	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F1	e	22HeStLy.60
43706.947824	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F1	e	22HeStLy.61
43697.531302	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F1	e	22HeStLy.62
43687.634082	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F1	e	22HeStLy.63
43677.258092	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F1	e	22HeStLy.64
43666.404835	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F1	e	22HeStLy.65
43655.075505	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F1	e	22HeStLy.66
43643.271070	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F1	e	22HeStLy.67
43630.992326	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F1	e	22HeStLy.68
43618.239945	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F1	e	22HeStLy.69
43605.014498	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F1	e	22HeStLy.70
43591.316482	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F1	e	22HeStLy.71
43577.146332	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F1	e	22HeStLy.72
43562.504439	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F1	e	22HeStLy.73
43547.391156	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F1	e	22HeStLy.74
43531.806805	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F1	e	22HeStLy.75
43515.751686	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F1	e	22HeStLy.76
43499.226077	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F1	e	22HeStLy.77
43482.230244	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F1	e	22HeStLy.78
43464.764437	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F1	e	22HeStLy.79
43446.828899	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F1	e	22HeStLy.80
43428.423863	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F1	e	22HeStLy.81
43409.549555	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F1	e	22HeStLy.82
43390.206198	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F1	e	22HeStLy.83
43370.394007	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F1	e	22HeStLy.84
43350.113199	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F1	e	22HeStLy.85
43329.363985	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F1	e	22HeStLy.86
43308.146575	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F1	e	22HeStLy.87
43286.461178	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F1	e	22HeStLy.88
43264.308003	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F1	e	22HeStLy.89
43241.687258	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F1	e	22HeStLy.90
43218.599152	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F1	e	22HeStLy.91
43195.043892	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F1	e	22HeStLy.92
43171.021689	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F1	e	22HeStLy.93
43146.532753	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F1	e	22HeStLy.94
43121.577296	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F1	e	22HeStLy.95
43096.155530	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F1	e	22HeStLy.96
43070.267669	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F1	e	22HeStLy.97
