transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43762.798165	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	2	F1	e	22HeStLy.52
43758.979613	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	3	F1	e	22HeStLy.53
43754.407063	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	4	F1	e	22HeStLy.54
43749.186939	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	5	F1	e	22HeStLy.55
43743.384391	0.05	B3Sigma-	4	5	F2	e	X3Sigma-	0	6	F1	e	22HeStLy.56
43737.038655	0.05	B3Sigma-	4	6	F2	e	X3Sigma-	0	7	F1	e	22HeStLy.57
43730.173864	0.05	B3Sigma-	4	7	F2	e	X3Sigma-	0	8	F1	e	22HeStLy.58
43722.805365	0.05	B3Sigma-	4	8	F2	e	X3Sigma-	0	9	F1	e	22HeStLy.59
43714.943266	0.05	B3Sigma-	4	9	F2	e	X3Sigma-	0	10	F1	e	22HeStLy.60
43706.594454	0.05	B3Sigma-	4	10	F2	e	X3Sigma-	0	11	F1	e	22HeStLy.61
43697.763762	0.05	B3Sigma-	4	11	F2	e	X3Sigma-	0	12	F1	e	22HeStLy.62
43688.454675	0.05	B3Sigma-	4	12	F2	e	X3Sigma-	0	13	F1	e	22HeStLy.63
43678.669771	0.05	B3Sigma-	4	13	F2	e	X3Sigma-	0	14	F1	e	22HeStLy.64
43668.410995	0.05	B3Sigma-	4	14	F2	e	X3Sigma-	0	15	F1	e	22HeStLy.65
43657.679843	0.05	B3Sigma-	4	15	F2	e	X3Sigma-	0	16	F1	e	22HeStLy.66
43646.477488	0.05	B3Sigma-	4	16	F2	e	X3Sigma-	0	17	F1	e	22HeStLy.67
43634.804862	0.05	B3Sigma-	4	17	F2	e	X3Sigma-	0	18	F1	e	22HeStLy.68
43622.662717	0.05	B3Sigma-	4	18	F2	e	X3Sigma-	0	19	F1	e	22HeStLy.69
43610.051669	0.05	B3Sigma-	4	19	F2	e	X3Sigma-	0	20	F1	e	22HeStLy.70
43596.972224	0.05	B3Sigma-	4	20	F2	e	X3Sigma-	0	21	F1	e	22HeStLy.71
43583.424808	0.05	B3Sigma-	4	21	F2	e	X3Sigma-	0	22	F1	e	22HeStLy.72
43569.409779	0.05	B3Sigma-	4	22	F2	e	X3Sigma-	0	23	F1	e	22HeStLy.73
43554.927442	0.05	B3Sigma-	4	23	F2	e	X3Sigma-	0	24	F1	e	22HeStLy.74
43539.978058	0.05	B3Sigma-	4	24	F2	e	X3Sigma-	0	25	F1	e	22HeStLy.75
43524.561852	0.05	B3Sigma-	4	25	F2	e	X3Sigma-	0	26	F1	e	22HeStLy.76
43508.679022	0.05	B3Sigma-	4	26	F2	e	X3Sigma-	0	27	F1	e	22HeStLy.77
43492.329739	0.05	B3Sigma-	4	27	F2	e	X3Sigma-	0	28	F1	e	22HeStLy.78
43475.514155	0.05	B3Sigma-	4	28	F2	e	X3Sigma-	0	29	F1	e	22HeStLy.79
43458.232402	0.05	B3Sigma-	4	29	F2	e	X3Sigma-	0	30	F1	e	22HeStLy.80
43440.484598	0.05	B3Sigma-	4	30	F2	e	X3Sigma-	0	31	F1	e	22HeStLy.81
43422.270849	0.05	B3Sigma-	4	31	F2	e	X3Sigma-	0	32	F1	e	22HeStLy.82
43403.591249	0.05	B3Sigma-	4	32	F2	e	X3Sigma-	0	33	F1	e	22HeStLy.83
43384.445881	0.05	B3Sigma-	4	33	F2	e	X3Sigma-	0	34	F1	e	22HeStLy.84
43364.834820	0.05	B3Sigma-	4	34	F2	e	X3Sigma-	0	35	F1	e	22HeStLy.85
43344.758133	0.05	B3Sigma-	4	35	F2	e	X3Sigma-	0	36	F1	e	22HeStLy.86
43324.215880	0.05	B3Sigma-	4	36	F2	e	X3Sigma-	0	37	F1	e	22HeStLy.87
43303.208114	0.05	B3Sigma-	4	37	F2	e	X3Sigma-	0	38	F1	e	22HeStLy.88
43281.734883	0.05	B3Sigma-	4	38	F2	e	X3Sigma-	0	39	F1	e	22HeStLy.89
43259.796229	0.05	B3Sigma-	4	39	F2	e	X3Sigma-	0	40	F1	e	22HeStLy.90
43237.392190	0.05	B3Sigma-	4	40	F2	e	X3Sigma-	0	41	F1	e	22HeStLy.91
43214.522799	0.05	B3Sigma-	4	41	F2	e	X3Sigma-	0	42	F1	e	22HeStLy.92
43191.188085	0.05	B3Sigma-	4	42	F2	e	X3Sigma-	0	43	F1	e	22HeStLy.93
43167.388073	0.05	B3Sigma-	4	43	F2	e	X3Sigma-	0	44	F1	e	22HeStLy.94
43143.122784	0.05	B3Sigma-	4	44	F2	e	X3Sigma-	0	45	F1	e	22HeStLy.95
43118.392236	0.05	B3Sigma-	4	45	F2	e	X3Sigma-	0	46	F1	e	22HeStLy.96
43093.196445	0.05	B3Sigma-	4	46	F2	e	X3Sigma-	0	47	F1	e	22HeStLy.97
43067.535422	0.05	B3Sigma-	4	47	F2	e	X3Sigma-	0	48	F1	e	22HeStLy.98
43041.409175	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F1	e	22HeStLy.99
43014.817710	0.05	B3Sigma-	4	49	F2	e	X3Sigma-	0	50	F1	e	22HeStLy.100
43770.413879	0.05	B3Sigma-	4	1	F1	f	X3Sigma-	0	2	F1	f	22HeStLy.101
43768.072546	0.05	B3Sigma-	4	2	F1	f	X3Sigma-	0	3	F1	f	22HeStLy.102
43765.264494	0.05	B3Sigma-	4	3	F1	f	X3Sigma-	0	4	F1	f	22HeStLy.103
43761.989744	0.05	B3Sigma-	4	4	F1	f	X3Sigma-	0	5	F1	f	22HeStLy.104
43758.248314	0.05	B3Sigma-	4	5	F1	f	X3Sigma-	0	6	F1	f	22HeStLy.105
43754.040221	0.05	B3Sigma-	4	6	F1	f	X3Sigma-	0	7	F1	f	22HeStLy.106
43749.365480	0.05	B3Sigma-	4	7	F1	f	X3Sigma-	0	8	F1	f	22HeStLy.107
43744.224104	0.05	B3Sigma-	4	8	F1	f	X3Sigma-	0	9	F1	f	22HeStLy.108
43738.616104	0.05	B3Sigma-	4	9	F1	f	X3Sigma-	0	10	F1	f	22HeStLy.109
43732.541488	0.05	B3Sigma-	4	10	F1	f	X3Sigma-	0	11	F1	f	22HeStLy.110
43726.000266	0.05	B3Sigma-	4	11	F1	f	X3Sigma-	0	12	F1	f	22HeStLy.111
43718.992441	0.05	B3Sigma-	4	12	F1	f	X3Sigma-	0	13	F1	f	22HeStLy.112
43711.518018	0.05	B3Sigma-	4	13	F1	f	X3Sigma-	0	14	F1	f	22HeStLy.113
43703.576998	0.05	B3Sigma-	4	14	F1	f	X3Sigma-	0	15	F1	f	22HeStLy.114
43695.169382	0.05	B3Sigma-	4	15	F1	f	X3Sigma-	0	16	F1	f	22HeStLy.115
43686.295168	0.05	B3Sigma-	4	16	F1	f	X3Sigma-	0	17	F1	f	22HeStLy.116
43676.954351	0.05	B3Sigma-	4	17	F1	f	X3Sigma-	0	18	F1	f	22HeStLy.117
43667.146926	0.05	B3Sigma-	4	18	F1	f	X3Sigma-	0	19	F1	f	22HeStLy.118
43656.872885	0.05	B3Sigma-	4	19	F1	f	X3Sigma-	0	20	F1	f	22HeStLy.119
43646.132220	0.05	B3Sigma-	4	20	F1	f	X3Sigma-	0	21	F1	f	22HeStLy.120
43634.924919	0.05	B3Sigma-	4	21	F1	f	X3Sigma-	0	22	F1	f	22HeStLy.121
43623.250968	0.05	B3Sigma-	4	22	F1	f	X3Sigma-	0	23	F1	f	22HeStLy.122
43611.110354	0.05	B3Sigma-	4	23	F1	f	X3Sigma-	0	24	F1	f	22HeStLy.123
43598.503059	0.05	B3Sigma-	4	24	F1	f	X3Sigma-	0	25	F1	f	22HeStLy.124
43585.429066	0.05	B3Sigma-	4	25	F1	f	X3Sigma-	0	26	F1	f	22HeStLy.125
43571.888352	0.05	B3Sigma-	4	26	F1	f	X3Sigma-	0	27	F1	f	22HeStLy.126
43557.880898	0.05	B3Sigma-	4	27	F1	f	X3Sigma-	0	28	F1	f	22HeStLy.127
43543.406677	0.05	B3Sigma-	4	28	F1	f	X3Sigma-	0	29	F1	f	22HeStLy.128
43528.465665	0.05	B3Sigma-	4	29	F1	f	X3Sigma-	0	30	F1	f	22HeStLy.129
43513.057834	0.05	B3Sigma-	4	30	F1	f	X3Sigma-	0	31	F1	f	22HeStLy.130
43497.183154	0.05	B3Sigma-	4	31	F1	f	X3Sigma-	0	32	F1	f	22HeStLy.131
43480.841595	0.05	B3Sigma-	4	32	F1	f	X3Sigma-	0	33	F1	f	22HeStLy.132
43464.033123	0.05	B3Sigma-	4	33	F1	f	X3Sigma-	0	34	F1	f	22HeStLy.133
43446.757703	0.05	B3Sigma-	4	34	F1	f	X3Sigma-	0	35	F1	f	22HeStLy.134
43429.015299	0.05	B3Sigma-	4	35	F1	f	X3Sigma-	0	36	F1	f	22HeStLy.135
43410.805873	0.05	B3Sigma-	4	36	F1	f	X3Sigma-	0	37	F1	f	22HeStLy.136
43392.129383	0.05	B3Sigma-	4	37	F1	f	X3Sigma-	0	38	F1	f	22HeStLy.137
43372.985789	0.05	B3Sigma-	4	38	F1	f	X3Sigma-	0	39	F1	f	22HeStLy.138
43353.375047	0.05	B3Sigma-	4	39	F1	f	X3Sigma-	0	40	F1	f	22HeStLy.139
43333.297110	0.05	B3Sigma-	4	40	F1	f	X3Sigma-	0	41	F1	f	22HeStLy.140
43312.751932	0.05	B3Sigma-	4	41	F1	f	X3Sigma-	0	42	F1	f	22HeStLy.141
43291.739464	0.05	B3Sigma-	4	42	F1	f	X3Sigma-	0	43	F1	f	22HeStLy.142
43270.259655	0.05	B3Sigma-	4	43	F1	f	X3Sigma-	0	44	F1	f	22HeStLy.143
43248.312453	0.05	B3Sigma-	4	44	F1	f	X3Sigma-	0	45	F1	f	22HeStLy.144
43225.897804	0.05	B3Sigma-	4	45	F1	f	X3Sigma-	0	46	F1	f	22HeStLy.145
43203.015650	0.05	B3Sigma-	4	46	F1	f	X3Sigma-	0	47	F1	f	22HeStLy.146
43179.665936	0.05	B3Sigma-	4	47	F1	f	X3Sigma-	0	48	F1	f	22HeStLy.147
43155.848601	0.05	B3Sigma-	4	48	F1	f	X3Sigma-	0	49	F1	f	22HeStLy.148
43131.563585	0.05	B3Sigma-	4	49	F1	f	X3Sigma-	0	50	F1	f	22HeStLy.149
43781.008776	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F2	e	22HeStLy.150
43780.144805	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F2	e	22HeStLy.151
43779.101432	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F2	e	22HeStLy.152
43777.772274	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F2	e	22HeStLy.153
43776.092218	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F2	e	22HeStLy.154
43774.022062	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F2	e	22HeStLy.155
43771.537703	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F2	e	22HeStLy.156
43768.623820	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F2	e	22HeStLy.157
43765.270326	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F2	e	22HeStLy.158
43761.470354	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F2	e	22HeStLy.159
43757.219085	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F2	e	22HeStLy.160
43752.513045	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F2	e	22HeStLy.161
43747.349663	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F2	e	22HeStLy.162
43741.726999	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F2	e	22HeStLy.163
43735.643555	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F2	e	22HeStLy.164
43729.098156	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F2	e	22HeStLy.165
43722.089861	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F2	e	22HeStLy.166
43714.617907	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F2	e	22HeStLy.167
43706.681664	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F2	e	22HeStLy.168
43698.280605	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F2	e	22HeStLy.169
43689.414284	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F2	e	22HeStLy.170
43680.082317	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F2	e	22HeStLy.171
43670.284368	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F2	e	22HeStLy.172
43660.020144	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F2	e	22HeStLy.173
43649.289380	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F2	e	22HeStLy.174
43638.091841	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F2	e	22HeStLy.175
43626.427310	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F2	e	22HeStLy.176
43614.295587	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F2	e	22HeStLy.177
