1246.303920	500	010	5	2	3	000	6	3	4	93Tothb.27
1249.433830	500	010	3	3	1	000	4	4	0	93Tothb.28
1249.463150	500	010	3	3	0	000	4	4	1	93Tothb.29
1250.125100	500	010	9	2	7	000	10	2	8	93Tothb.30
1250.741000	500	010	10	2	9	000	11	2	10	93Tothb.31
1250.874700	500	010	10	0	10	000	11	1	11	93Tothb.32
1250.964500	500	010	10	0	10	000	11	0	11	93Tothb.33
1251.120100	500	010	10	1	10	000	11	1	11	93Tothb.34
1251.211000	500	010	10	1	10	000	11	0	11	93Tothb.35
1251.721260	500	010	4	2	3	000	5	3	2	93Tothb.36
1254.090000	500	010	4	1	4	000	5	2	3	93Tothb.37
1254.528000	500	010	9	1	8	000	10	2	9	93Tothb.38
1257.467040	500	010	4	2	2	000	5	3	3	93Tothb.39
1258.877500	500	010	9	1	8	000	10	1	9	93Tothb.40
1262.912900	500	010	8	1	7	000	9	2	8	93Tothb.41
1263.361310	500	010	8	2	6	000	9	2	7	93Tothb.42
1263.526700	500	010	9	2	8	000	10	2	9	93Tothb.43
1264.183100	500	010	9	0	9	000	10	1	10	93Tothb.44
1264.361300	500	010	9	0	9	000	10	0	10	93Tothb.45
1264.648600	500	010	9	1	9	000	10	1	10	93Tothb.46
1264.826600	500	010	9	1	9	000	10	0	10	93Tothb.47
1266.419000	500	010	11	0	11	000	11	1	10	93Tothb.48
1268.579280	500	010	3	2	2	000	4	3	1	93Tothb.49
1270.051000	500	010	8	1	7	000	9	1	8	93Tothb.50
1270.445800	500	010	7	1	6	000	8	2	7	93Tothb.51
1270.512250	500	010	3	2	1	000	4	3	2	93Tothb.52
1272.021800	500	010	8	3	5	000	9	3	6	93Tothb.53
1276.536940	500	010	8	2	7	000	9	2	8	93Tothb.54
1277.236400	500	010	8	0	8	000	9	1	9	93Tothb.55
1277.584900	500	010	8	0	8	000	9	0	9	93Tothb.56
1277.604500	500	010	6	1	5	000	7	2	6	93Tothb.57
1277.765400	500	010	7	2	5	000	8	2	6	93Tothb.58
1278.105610	500	010	8	1	8	000	9	1	9	93Tothb.59
1278.453870	500	010	8	1	8	000	9	0	9	93Tothb.60
1280.061300	500	010	8	3	6	000	9	3	7	93Tothb.61
1280.488100	500	010	3	1	3	000	4	2	2	93Tothb.62
1281.538930	500	010	7	1	6	000	8	1	7	93Tothb.63
1281.666000	500	010	10	0	10	000	10	1	9	93Tothb.64
1283.676000	500	010	8	2	7	000	9	1	8	93Tothb.65
1284.551660	500	010	2	2	1	000	3	3	0	93Tothb.66
1284.935000	500	010	2	2	0	000	3	3	1	93Tothb.67
1285.012700	500	010	5	1	4	000	6	2	5	93Tothb.68
1289.277500	500	010	7	3	4	000	8	3	5	93Tothb.69
1289.840800	500	010	7	2	6	000	8	2	7	93Tothb.70
1289.933320	500	010	7	0	7	000	8	1	8	93Tothb.71
1289.969000	500	010	8	4	4	000	9	4	5	93Tothb.72
1290.587200	500	010	9	1	9	000	9	2	8	93Tothb.73
1290.600250	500	010	7	0	7	000	8	0	8	93Tothb.74
1291.514860	500	010	7	1	7	000	8	1	8	93Tothb.75
1292.181630	500	010	7	1	7	000	8	0	8	93Tothb.76
1293.207000	500	010	6	2	4	000	7	2	5	93Tothb.77
1293.232500	500	010	4	1	3	000	5	2	4	93Tothb.78
1293.770100	500	010	6	1	5	000	7	1	6	93Tothb.79
1294.549200	500	010	7	3	5	000	8	3	6	93Tothb.80
1296.237000	500	010	5	4	2	000	5	5	1	93Tothb.81
1296.251600	500	010	5	4	1	000	5	5	0	93Tothb.82
1297.009500	500	010	6	4	3	000	6	5	2	93Tothb.83
1297.083200	500	010	6	4	2	000	6	5	1	93Tothb.84
1297.981300	500	010	7	4	4	000	7	5	3	93Tothb.85
1298.249000	500	010	7	4	3	000	7	5	2	93Tothb.86
1299.134200	500	010	8	4	5	000	8	5	4	93Tothb.87
1300.934600	500	010	7	2	6	000	8	1	7	93Tothb.88
1302.137500	500	010	6	0	6	000	7	1	7	93Tothb.89
1302.661220	500	010	3	1	2	000	4	2	3	93Tothb.90
1302.904220	500	010	8	1	8	000	8	2	7	93Tothb.91
1303.146490	500	010	2	1	2	000	3	2	1	93Tothb.92
1303.381880	500	010	6	0	6	000	7	0	7	93Tothb.93
