     000    0    0    0           0.000000	0	   146	    A+   
     010    0    0    0        1403.483724	15	   16	    A+   
     031    0    0    0        7754.605467	500	   1	    C   
     111    0    0    0        7808.758612	500	   1	    C   
     060    0    0    0        7914.317012	500	   1	    C   
     300    0    0    0        7918.171912	500	   1	    C   
     201    0    0    0        9047.068467	500	   1	    C   
     310    0    0    0        9293.001312	536	   4	    B+   
     150    0    0    0        9381.786458	497	   3	    B+   
     230    0    0    0        9487.915506	491	   3	    B+   
     121    0    0    0        9155.817812	2499	   1	    C   
     032    0    0    0       11242.923202	2499	   1	    C   
     022    0    0    0        9934.772127	873	   5	    B+   
     102    0    0    0        9967.016071	1019	   4	    B+   
     400    0    0    0       10378.945940	1224	   2	    B-   
     211    0    0    0       10403.147412	999	   1	    C   
     003    0    0    0       10631.683126	619	   5	    B+   
     112    0    0    0       11315.433312	999	   1	    C   
     013    0    0    0       11969.753013	12	   5	    B+   
     500    0    0    0       12767.141475	309	   6	    A+   
     023    0    0    0       13278.350811	46	   6	    A+   
     103    0    0    0       13331.606153	216	   6	    A+   
     004    0    0    0       13853.627343	155	   3	    B+   
     113    0    0    0       14660.721912	315	   1	    C   
     014    0    0    0       15166.104512	17	   2	    B+   
     142    0    0    0       15170.951012	33	   2	    B+   
     024    0    0    0       16456.190313	60	   2	    B+   
     005    0    0    0       16920.020712	15	   4	    B+   
     015    0    0    0       18208.446512	48	   2	    B+   
     006    0    0    0       19836.882808	45	   2	    B+   
     007    0    0    0       22625.523004	2161	   2	    B+   
     040    0    0    0        5420.041442	1016	   1	    C   
     020    0    0    0        2782.011177	36	   8	    A+   
     030    0    0    0        4145.473186	292	   3	    B+   
     011    0    0    0        5089.539837	41	   5	    B+   
     600    0    0    0       15065.712212	4997	   1	    C   
     221    0    0    0       11701.775912	2499	   1	    C   
     410    0    0    0       11754.581840	1783	   2	    B-   
     170    0    0    0       11773.312167	2499	   1	    C   
     122    0    0    0       12644.652812	2499	   1	    C   
     202    0    0    0       12568.190090	1809	   2	    B-   
     311    0    0    0       12919.938712	2499	   1	    C   
     106    0    0    0       22454.468792	500	   1	    C   
     100    0    0    0        2723.679737	49	   4	    B+   
     101    0    0    0        6415.460697	42	   12	    A+   
     021    0    0    0        6451.899800	75	   10	    A+   
     050    0    0    0        6690.413212	999	   1	    C   
     210    0    0    0        6746.908202	36	   5	    B+   
     200    0    0    0        5363.824480	50	   2	    B+   
     120    0    0    0        5506.186812	250	   1	    C   
     001    0    0    0        3707.466740	177	   2	    B-   
     110    0    0    0        4099.955912	250	   1	    C   
