     000    1    0    1          15.460940	0	   5	    B-   
     000    2    2    1         108.237925	151	   10	    A+   
     000    2    2    0         108.583979	151	   8	    A+   
     000    7    4    3         680.170081	196	   5	    B+   
     000    7    4    4         679.875966	196	   6	    A+   
     000    3    2    1         156.248852	154	   17	    A+   
     000    4    1    4         155.761860	154	   14	    A+   
     000    5    3    2         372.504346	170	   8	    A+   
     000    5    3    3         371.746595	170	   8	    A+   
     000    7    1    7         402.929395	176	   10	    A+   
     000    6    2    4         402.105467	176	   12	    A+   
     000    8    4    4         805.600878	248	   4	    B+   
     000    8    4    5         804.747741	248	   3	    B+   
     000    4    3    1         293.994715	167	   15	    A+   
     000    5    2    4         292.369753	167	   14	    A+   
     000    3    2    2         154.558004	154	   9	    A+   
     000    6    3    3         467.502490	175	   7	    A+   
     000    6    3    4         465.314981	175	   8	    A+   
     000    6    0    6         305.209315	169	   10	    A+   
     000    5    2    3         302.805233	169	   17	    A+   
     000    1    1    0          32.311835	149	   10	    A+   
     000    1    1    1          29.623252	149	   11	    A+   
     000    5    1    5         224.997673	159	   12	    A+   
     000    4    2    2         220.853030	159	   14	    A+   
     000    6    1    6         307.449784	169	   10	    A+   
     000    4    2    3         216.018604	159	   10	    A+   
     000    3    1    2         116.040675	151	   9	    A+   
     000    2    1    1          65.906357	151	   10	    A+   
     000    2    1    2          57.846300	151	   10	    A+   
     010    3    1    2        1518.679789	167	   8	    A-   
     000    4    4    1         399.726342	201	   5	    B-   
     010    4    2    3        1624.225522	168	   10	    A-   
     000    5    4    2         477.401605	189	   9	    A-   
     010    7    1    7        1802.805058	200	   6	    A-   
     000    8    2    6         650.959380	213	   7	    A-   
     010    5    0    5        1621.165485	183	   6	    A-   
     010    8    2    7        2016.848052	211	   8	    A-   
     000    9    3    6         856.306649	248	   3	    B-   
     010    6    5    1        2151.263508	441	   4	    B-   
     000    7    6    2         975.167308	497	   1	    C   
     010    7    3    5        1993.262838	197	   8	    A-   
     010    7    2    6        1897.465078	190	   9	    A-   
     000    8    3    5         709.048436	212	   5	    B-   
     010    6    4    3        2001.902622	228	   6	    A-   
     000    7    5    2         813.393181	1710	   2	    B-   
     010    6    4    2        2001.978636	217	   7	    A-   
     000    7    5    3         813.369605	1142	   2	    B-   
     010    5    5    0        2058.057604	239	   4	    B-   
     000    6    6    1         867.178924	331	   2	    B-   
     010    5    4    2        1908.224085	217	   6	    A-   
     000    6    5    1         704.895115	267	   2	    B-   
     010    5    4    1        1908.239045	202	   6	    A-   
     000    6    5    2         704.893515	279	   3	    B-   
     010    6    3    4        1883.786642	184	   8	    A-   
     010    6    3    3        1885.930908	183	   8	    A-   
     010    6    2    5        1791.996646	181	   8	    A-   
     000    7    3    4         579.520682	200	   7	    A+   
     010    4    4    0        1830.290328	217	   5	    B-   
     000    5    5    1         611.987341	242	   4	    B-   
     010    5    3    3        1789.874840	182	   7	    A-   
     000    6    4    2         570.849637	220	   6	    A-   
     010    5    3    2        1790.615942	188	   6	    A-   
     000    6    4    3         570.768404	206	   7	    A-   
     010    5    1    5        1625.808046	180	   7	    A-   
     010    7    2    5        1928.725000	214	   5	    B-   
     000    8    3    6         698.712735	224	   6	    A-   
     010    5    2    4        1700.802283	175	   9	    A-   
     010    4    3    2        1711.653223	180	   7	    A-   
     000    5    4    1         477.418162	198	   8	    A-   
     010    4    3    1        1711.842360	183	   7	    A-   
     010    6    2    4        1811.576798	185	   7	    A-   
     000    7    3    5         574.377378	197	   6	    A+   
     010    10    1    9        2290.347476	267	   4	    B-   
     000    11    2    10        1045.242492	292	   2	    B-   
     010    5    2    3        1711.619165	185	   6	    A-   
     010    3    3    1        1649.161745	180	   6	    A-   
     000    4    4    0         399.727898	233	   2	    B-   
     010    3    3    0        1649.189344	184	   5	    B-   
     010    9    2    7        2211.862028	245	   5	    B-   
     000    10    2    8         961.737202	291	   2	    B-   
     010    10    2    9        2295.983607	258	   5	    B-   
     010    10    0    10        2163.583661	261	   5	    B-   
     000    11    1    11         912.708873	292	   2	    B-   
     000    11    0    11         912.618523	321	   2	    B-   
     010    10    1    10        2163.828886	252	   5	    B-   
     010    4    1    4        1556.894901	177	   7	    A-   
     010    9    1    8        2140.797957	256	   5	    B-   
     000    10    2    9         886.268665	364	   2	    B-   
     010    4    2    2        1629.213671	172	   8	    A-   
     000    10    1    9         881.919059	384	   2	    B-   
     010    8    1    7        2003.224476	213	   6	    A-   
     000    9    2    8         740.310960	236	   5	    B-   
     010    8    2    6        2062.426721	218	   5	    B-   
     000    9    2    7         799.064907	262	   3	    B-   
     010    9    2    8        2149.794073	244	   4	    B-   
     010    9    0    9        2030.433104	241	   4	    B-   
     000    10    1    10         766.249848	253	   5	    B-   
     000    10    0    10         766.072044	255	   5	    B-   
     010    9    1    9        2030.898523	234	   5	    B-   
     010    11    0    11        2309.130056	353	   3	    B-   
     000    11    1    10        1042.711056	421	   1	    C   
     010    3    2    2        1562.574004	167	   8	    A-   
     000    9    1    8         733.174157	278	   4	    B-   
     010    7    1    6        1878.069912	214	   5	    B-   
     000    8    2    7         607.624156	227	   3	    B-   
     010    3    2    1        1564.313227	170	   7	    A-   
     000    4    3    2         293.801033	180	   7	    A-   
     010    8    3    5        2128.327660	210	   6	    A-   
     010    8    0    8        1909.659628	223	   4	    B-   
     000    9    1    9         632.423005	242	   4	    B-   
     000    9    0    9         632.074612	235	   5	    B-   
     010    6    1    5        1766.118044	192	   6	    A-   
     000    7    2    6         488.513085	197	   7	    A-   
     010    8    1    8        1910.528301	211	   6	    A-   
     010    8    3    6        2118.088540	217	   5	    B-   
     000    9    3    7         838.028157	319	   2	    B-   
     010    3    1    3        1501.341499	176	   6	    A-   
     000    8    1    7         596.530710	212	   6	    A-   
     010    2    2    1        1516.104870	181	   5	    B-   
     000    3    3    0         231.553218	187	   6	    A-   
     010    2    2    0        1516.460043	172	   6	    A-   
     000    3    3    1         231.524895	186	   5	    B-   
     010    5    1    4        1668.325413	184	   6	    A-   
     000    6    2    5         383.312560	188	   7	    A-   
     010    7    3    4        1998.326129	199	   6	    A-   
     010    7    0    7        1801.223622	203	   5	    B-   
     000    8    1    8         511.290237	225	   4	    B-   
