     301    2    1    2       13867.805930	287	   4	    B+   
     101    2    1    2        7304.109966	152	   15	    A+   
     021    2    1    2        6927.625560	136	   16	    A+   
     211    2    1    2       12192.921582	257	   6	    A+   
     201    2    1    2       10659.115269	243	   7	    A+   
     103    2    1    2       14348.711964	51	   3	    B-   
     321    2    1    2       16851.770850	2084	   2	    B-   
     401    2    1    2       16926.999836	1274	   3	    B-   
     011    2    1    2        5390.102773	139	   17	    A+   
     003    2    1    2       11067.440828	309	   6	    A+   
     121    2    1    2       10376.596499	275	   6	    A+   
     031    2    1    2        8428.662754	183	   10	    A+   
     030    2    1    1        4758.232178	184	   8	    A+   
     020    2    1    1        3242.239297	28	   11	    A+   
     230    2    1    1       11839.460022	404	   3	    B-   
     300    2    1    1       10663.479210	287	   4	    B+   
     000    2    1    1          94.788628	0	   252	    A+   
     110    2    1    1        5317.845380	227	   12	    A+   
     220    2    1    1       10357.542937	373	   2	    B-   
     022    2    1    1       10581.814224	503	   1	    C   
     002    2    1    1        7510.144917	200	   7	    A+   
     032    2    1    1       12067.308150	503	   1	    C   
     120    2    1    1        6856.645445	164	   13	    A+   
     012    2    1    1        9062.203735	411	   3	    B+   
     200    2    1    1        7277.177492	168	   11	    A+   
     202    2    1    1       14276.010598	1911	   1	    C   
     010    2    1    1        1686.733471	19	   44	    A+   
     102    2    1    1       10929.650409	291	   4	    B+   
     310    2    1    1       12199.850455	323	   4	    B+   
     130    2    1    1        8356.610681	234	   5	    B+   
     420    2    1    1       16873.044098	1508	   1	    C   
     100    2    1    1        3742.719174	29	   8	    A+   
     070    2    1    1       10351.037724	503	   1	    C   
     210    2    1    1        8834.277746	374	   3	    B-   
     040    2    1    1        6230.363777	239	   7	    A+   
     112    2    1    1       12465.571641	246	   6	    A+   
     121    2    2    1       10445.524636	325	   6	    A+   
     031    2    2    1        8515.284747	227	   10	    A+   
     001    2    2    1        3870.077939	31	   9	    A+   
     041    2    2    1        9998.748036	424	   3	    B+   
     221    2    2    1       13757.792256	377	   3	    B+   
     101    2    2    1        7354.328379	226	   11	    A+   
     103    2    2    1       14393.967639	186	   3	    B-   
     211    2    2    1       12249.363991	265	   6	    A+   
     013    2    2    1       12649.025837	174	   6	    A+   
     111    2    2    1        8915.865288	222	   7	    A+   
     021    2    2    1        6998.786922	131	   16	    A+   
     401    2    2    1       16975.532850	1508	   1	    C   
     011    2    2    1        5450.100414	142	   14	    A+   
     301    2    2    1       13914.903853	50	   4	    B+   
     201    2    2    1       10707.617353	282	   6	    A+   
     131    2    2    1       11943.427400	248	   5	    B+   
     003    2    2    1       11113.441526	285	   5	    B+   
     020    2    2    0        3302.771888	23	   17	    A+   
     040    2    2    0        6333.132526	216	   10	    A+   
     120    2    2    0        6914.566440	169	   12	    A+   
     022    2    2    0       10632.052043	1168	   2	    B-   
     010    2    2    0        1735.438007	15	   40	    A+   
     310    2    2    0       12241.670253	513	   3	    B-   
     112    2    2    0       12506.751122	419	   7	    A+   
     100    2    2    0        3781.209234	40	   9	    A+   
     202    2    2    0       14309.321984	252	   2	    B-   
     002    2    2    0        7544.470949	176	   12	    A+   
     130    2    2    0        8430.828494	251	   6	    A+   
     230    2    2    0       11908.676954	1105	   2	    B-   
     030    2    2    0        4835.605158	173	   10	    A+   
     110    2    2    0        5364.605341	151	   12	    A+   
     012    2    2    0        9103.421643	369	   2	    B-   
     102    2    2    0       10963.750460	365	   6	    A+   
     220    2    2    0       10410.324138	401	   3	    B-   
     000    2    2    0         134.783098	0	   258	    A+   
     300    2    2    0       10698.296666	319	   4	    B+   
     200    2    2    0        7314.265400	167	   10	    A+   
     210    2    2    0        8878.928436	354	   3	    B-   
     111    3    0    3        8912.262083	185	   10	    A+   
     021    3    0    3        6980.119178	122	   20	    A+   
     211    3    0    3       12247.281808	225	   10	    A+   
     003    3    0    3       11124.318296	261	   6	    A+   
     131    3    0    3       11908.332423	356	   6	    A+   
     121    3    0    3       10428.711597	248	   8	    A+   
     031    3    0    3        8477.271435	180	   11	    A+   
     011    3    0    3        5445.417323	129	   20	    A+   
     041    3    0    3        9932.177308	413	   2	    B-   
     013    3    0    3       12651.197319	91	   9	    A+   
     221    3    0    3       13743.828708	42	   2	    B-   
     001    3    0    3        3876.040501	25	   17	    A+   
     301    3    0    3       13922.471477	477	   5	    B+   
     071    3    0    3       13921.248508	399	   2	    B-   
