     000    0    0    0           0.000000	0	   38	    A+   
     001    8    1    8        4478.929346	47	   4	    B+   
     000    7    1    7         585.161857	1	   90	    A+   
     001    7    0    7        4323.907761	28	   6	    A+   
     000    6    0    6         445.719206	1	   101	    A+   
     001    6    2    5        4288.332498	16	   7	    A+   
     000    5    2    4         415.128034	1	   115	    A+   
     001    5    2    3        4187.672015	17	   7	    A+   
     000    4    2    2         315.078497	1	   137	    A+   
     001    6    1    6        4187.252217	17	   7	    A+   
     000    5    1    5         325.880179	1	   122	    A+   
     001    5    0    5        4067.864254	17	   8	    A+   
     000    4    0    4         221.620827	1	   132	    A+   
     001    4    2    3        4041.643693	21	   8	    A+   
     000    3    2    2         205.481794	1	   143	    A+   
     001    4    3    2        4116.333400	23	   8	    A+   
     000    3    3    1         283.561587	1	   102	    A+   
     001    4    1    4        3969.279355	20	   7	    A+   
     000    3    1    3         141.902402	1	   134	    A+   
     001    3    1    2        3919.001515	15	   8	    A+   
     000    2    1    1          94.970546	1	   116	    A+   
     001    3    2    1        3954.655596	19	   8	    A+   
     000    2    2    0         135.431181	1	   102	    A+   
     001    3    0    3        3882.992973	35	   7	    A+   
     000    2    0    2          70.004651	1	   104	    A+   
     001    2    1    2        3825.716320	20	   8	    A+   
     000    1    1    1          36.931115	1	   81	    A+   
     001    1    0    1        3771.860655	46	   5	    B+   
     001    3    3    0        4021.194855	35	   5	    B+   
     000    4    3    1         382.175908	1	   113	    A+   
     001    2    2    1        3877.438561	28	   4	    B+   
     000    4    1    3         275.130532	1	   141	    A+   
     000    5    3    3         502.179606	1	   121	    A+   
     000    6    2    4         601.960793	1	   102	    A+   
     000    7    2    6         708.016282	1	   89	    A+   
     010    6    3    3        2277.323881	13	   14	    A+   
     000    7    4    4         924.641358	2	   64	    A+   
     010    5    3    3        2120.972483	33	   21	    A+   
     000    6    4    2         754.811633	1	   87	    A+   
     010    4    4    0        2122.952640	18	   15	    A+   
     000    5    5    1         737.620357	2	   48	    A+   
     010    4    3    1        2000.598776	13	   15	    A+   
     000    5    4    2         607.159208	1	   101	    A+   
     010    3    3    1        1902.159363	13	   17	    A+   
     000    4    4    0         485.236769	1	   75	    A+   
     010    7    1    7        2176.360244	17	   12	    A+   
     000    8    0    8         742.398553	8	   67	    A+   
     010    2    2    0        1739.228479	12	   15	    A+   
     010    2    1    1        1689.992783	13	   16	    A+   
