     000    1    0    1          23.773510	0	   119	    A+   
     000    9    1    8        1076.800819	2	   66	    A+   
     001    10    1    9        5016.942983	58	   4	    B+   
     001    11    1    11        5051.527817	220	   4	    B+   
     000    10    1    10        1112.041531	54	   52	    A+   
     001    8    2    6        4715.979731	20	   9	    A+   
     000    7    2    5         781.377307	2	   130	    A+   
     001    10    0    10        4842.726310	70	   4	    B+   
     000    9    0    9         918.101935	2	   80	    A+   
     001    8    1    7        4614.931526	22	   7	    A+   
     000    7    1    6         702.885808	2	   136	    A+   
     001    9    1    9        4651.848137	36	   5	    B+   
     000    8    1    8         742.490657	2	   103	    A+   
     001    7    3    5        4544.284475	20	   9	    A+   
     000    6    3    4         647.072053	2	   155	    A+   
     001    6    2    4        4342.276617	17	   9	    A+   
     000    5    2    3         445.793404	1	   190	    A+   
     001    8    0    8        4478.876871	21	   7	    A+   
     000    7    0    7         584.940852	2	   130	    A+   
     001    7    2    6        4443.342924	32	   8	    A+   
     000    6    2    5         551.609340	1	   171	    A+   
     001    7    1    7        4324.040086	24	   8	    A+   
     000    6    1    6         446.244901	1	   145	    A+   
     001    5    3    3        4235.642035	21	   7	    A+   
     000    4    3    2         380.805848	1	   169	    A+   
     001    4    2    2        4057.864291	19	   13	    A+   
     000    3    2    1         211.435768	1	   194	    A+   
     001    5    1    5        4068.628604	16	   9	    A+   
     000    4    1    4         224.304222	1	   193	    A+   
     001    4    3    1        4117.785577	15	   11	    A+   
     000    3    3    0         283.767738	1	   139	    A+   
     001    4    0    4        3966.594237	14	   10	    A+   
     000    3    0    3         136.537614	1	   189	    A+   
     001    3    2    2        3948.317695	15	   13	    A+   
     000    2    2    1         134.145275	1	   139	    A+   
     001    3    1    3        3887.625501	22	   11	    A+   
     000    2    1    2          79.227344	1	   165	    A+   
     001    2    1    1        3841.581562	19	   10	    A+   
     000    1    1    0          42.186949	0	   103	    A+   
     001    4    1    3        4019.822784	23	   9	    A+   
     001    2    0    2        3817.514068	17	   8	    A+   
     000    4    2    3         299.438905	1	   194	    A+   
     100    4    4    1        4127.721070	27	   9	    A+   
     001    1    1    1        3783.902395	22	   5	    B+   
     001    3    3    1        4020.951115	20	   7	    A+   
     001    4    4    0        4214.602092	23	   6	    A+   
     000    4    4    1         485.208941	1	   111	    A+   
     001    0    0    0        3748.318105	31	   3	    B+   
     001    7    4    4        4648.749717	20	   7	    A+   
     000    7    4    3         928.295785	2	   105	    A+   
     001    5    5    1        4457.021879	30	   3	    B+   
     000    5    5    0         737.623849	5	   72	    A+   
     000    3    1    2         173.110088	1	   184	    A+   
     100    3    0    3        3787.240995	35	   6	    A+   
     001    2    2    0        3878.838895	32	   5	    B+   
     000    5    0    5         324.660952	1	   175	    A+   
     100    1    0    1        3676.524006	21	   4	    B+   
     000    5    1    4         398.879317	1	   173	    A+   
     000    5    3    2         507.174288	1	   164	    A+   
     100    3    1    2        3823.238109	23	   4	    B+   
     001    5    2    4        4157.266719	33	   4	    B+   
     001    6    0    6        4186.922129	20	   8	    A+   
     100    1    1    0        3694.394970	30	   3	    B+   
     001    6    3    3        4399.265147	22	   6	    A+   
     000    7    3    4         840.864727	2	   126	    A+   
     001    6    4    2        4481.212516	16	   7	    A+   
     100    4    1    4        3873.134620	25	   5	    B+   
     000    8    3    6        1003.781120	2	   90	    A+   
     100    5    0    5        3971.714327	21	   6	    A+   
     000    9    2    7        1199.962906	2	   64	    A+   
     100    3    3    0        3929.748173	24	   4	    B+   
     010    5    3    2        2125.178834	15	   18	    A+   
     000    6    4    3         753.704931	2	   119	    A+   
     010    4    1    4        1817.626441	21	   26	    A+   
     010    7    2    5        2388.072585	13	   20	    A+   
     010    4    4    1        2122.932293	16	   17	    A+   
     010    4    3    2        1999.463260	12	   23	    A+   
     000    5    4    1         607.397310	2	   131	    A+   
     010    4    2    3        1903.569065	12	   23	    A+   
     010    5    2    3        2049.712077	11	   22	    A+   
     010    3    3    0        1902.328958	12	   15	    A+   
     010    7    1    6        2304.999261	54	   20	    A+   
     000    8    2    7         883.651887	2	   101	    A+   
     010    7    0    7        2175.937287	12	   15	    A+   
     010    2    2    1        1738.027566	17	   12	    A+   
     010    2    1    2        1673.347381	12	   19	    A+   
     010    3    1    2        1768.704207	11	   21	    A+   
     010    5    0    5        1916.673547	13	   16	    A+   
     010    9    1    8        2682.375296	16	   10	    A+   
